game_id,game_name,game_name_en,game_name_abbr,prep_fun_name
4b72d72d-b6f3-430f-b744-4209fe9508a2,阻挡陨石,Earth Protect,EP,countcorrect
e5aa6979-91be-4dae-b51e-5f9719f6c3d1,二维心理旋转测试A,Mental Rotation A,MRA,countcorrect
777a91ab-fd7c-4039-8feb-d314cdfd7c70,二维心理旋转测试B,Mental Rotation B,MRB,countcorrect
fe1c2015-ab53-4899-8357-c64dc6aad075,二维心理旋转测试C,Mental Rotation C,MRC,countcorrect
8fa69a79-d25b-4079-9d9e-1db817f959b3,二维心理旋转测试D,Mental Rotation D,MRD,countcorrect
19c64c85-e049-4f07-98a0-3ba7c6e2f7db,瑞文标准推理,Raven Standard,RavenS,countcorrect
98ff7e39-c007-496a-9657-b2be8425d303,瑞文标准推理偶数版,Raven Standard Even,RavenSE,countcorrect
b2c2007f-1eac-43cd-b189-b2e8b205505a,瑞文标准推理奇数版,Raven Standard Odd,RavenSO,countcorrect
993e97f8-25be-4b20-9fa8-a901c8a6b7e8,瑞文高级推理,Raven Advanced,RavenAdv,countcorrect
ad810784-6bef-4277-803d-644a4d5d57f6,三维心理旋转测试A,Mental Rotation 3D A,MR3DA,countcorrect
1cee9ffa-6391-4bc1-8a87-2199036e1f6b,三维心理旋转测试B,Mental Rotation 3D B,MR3DB,countcorrect
b019d6ec-9e38-497e-8259-8bf7128fe76c,数字归纳推理A,Digit Reasoning Induction A,DRIA,countcorrect
3759e0fa-bccd-4539-81fd-73f5671af290,数字归纳推理B,Digit Reasoning Induction B,DRIB,countcorrect
816b7e90-49d8-474c-9779-c2193fade13b,数字归纳推理C,Digit Reasoning Induction C,DRIC,countcorrect
0c810c88-29ca-4d10-9d2f-9fcc6bed7c9c,数字归纳推理D,Digit Reasoning Induction D,DRID,countcorrect
b958aca6-2898-46ec-863e-78254fe21ef8,数字演绎推理,Digit Reasoning Deduction,DRD,countcorrect
26eb4f74-91aa-4965-b542-4cfb77a618be,图形归纳推理A,Non-verbal Reasoning Induction A,NVRIA,countcorrect
4e538055-d5a1-4e91-bf6c-93c68cf4de28,图形归纳推理B,Non-verbal Reasoning Induction B,NVRIB,countcorrect
ca646547-8ef2-4657-8b9b-35b586073683,图形演绎推理A,Non-verbal Reasoning Deduction A,NVRDA,countcorrect
831784bc-2aeb-4a1e-95ed-2df1224836bb,图形演绎推理B,Non-verbal Reasoning Deduction B,NVRDB,countcorrect
a0cab4df-f1de-44e2-afbc-2a205d5ca7e4,图形折叠与展开A,Folding A,FOLDA,countcorrect
49feab5f-c3e8-4bf3-b58f-63730c616b50,图形折叠与展开B,Folding B,FOLDB,countcorrect
11d071cc-7289-429a-a6c5-a552753c52a0,文字推理-初级,Verbal Reasoning Junior,VRJr,countcorrect
2b9cd51a-64d6-49b3-8e9c-2db69d21771b,文字推理-高级,Verbal Reasoning Advanced,VRAdv,countcorrect
82c50d3a-5a13-451f-ad3a-9b8082731ac9,阅读理解,Reading 2,Reading2,countcorrect
2a82342b-f1bf-489e-8dd4-403e708123d1,阅读判断,Reading,Reading,countcorrect
