game_id,game_name,game_type,game_name_sci_en,game_name_short,prep_fun_str
8cd79a3c-bcfa-45f1-aa15-65c52bd4f4ea,舒尔特方格（高级）,1,Schulte Grid Advanced,SchulteAdv,schulte
e88ce3d8-88eb-41c6-ba2d-0650e6897d0f,舒尔特方格（中级）,1,Schulte Grid Medium,SchulteMed,schulte
7034b6f2-0f09-46ea-8b95-634689a8e998,倒背数,1,Backward Digit Span,BDS,span
697d1de9-d140-4e21-9269-6de08443f784,方块速记,1,Spatial Short-term Memory Simple,SSTMS,span
7cb86e74-810d-45a3-ba3c-8b8a9dc6dc1c,过目不忘,1,Forward Word Span,FWS,span
c175b435-27ed-4eac-9f98-00b4d2f22838,蝴蝶照相机,1,Symmetry Complex Span,SCSpan,span
7c7fe5b8-58dd-49dd-bf2a-30376b44f778,顺背数,1,Forward Digit Span,FDS,span
71d62d15-c149-4a3a-82f5-fa16d722463f,位置记忆,1,Spatial Short-term Memory,SSTM,span
393b69dc-c995-45ae-9a8d-c65b18eb659b,萤火虫,1,Multiple Object Tracking,MOT,span
5134b80a-945f-452e-b6cc-3c2b01295120,萤火虫高级版,1,Multiple Object Tracking 2,MOT2,span
ec40acb2-efba-40cd-adbc-fd604668b451,时空相机A,1,Spatiotemporal Memory A,SpatTempA,spattemp
b896281d-9460-450e-9675-47ab3ba1068c,时空相机B,1,Spatiotemporal Memory B,SpatTempB,spattemp
64234968-080d-4a6c-bbf8-13d4d213e9c0,时空相机B（初级）,1,Spatiotemporal Memory Junior,SpatTempJr,spattemp
8a509924-9e23-4bbe-879d-dac7a3ab7ef6,时空相机B（中级）,1,Spatiotemporal Memory Medium,SpatTempMed,spattemp
dd1fd353-127e-4cdf-b644-43a90490ad60,照相机,1,Spatiotemporal Memory,SpatTemp,spattemp
d4995118-c8ed-401d-9eb6-ee729fb98116,超级秒表,1,Simple Reaction Time Test,SRT,srt
b058c5e3-cff0-417d-93a9-dd82f901530d,变色魔块,1,Stop Signal,StopSig,stopsignal
24b1d4ad-ab3e-4361-8b9b-d1dcb5edf2b9,卡片分类,1,Card Sorting,CardSort,switchcost
ac6bffb9-1662-4931-812d-1e04ac6f7aa5,卡片分类2,1,Card Sorting,CardSort2,switchcost
9007f653-4750-4b6a-bf5d-e5084fb35417,数字大小比较,1,Symbolic Numeric Comparison,SymNCmp,symncmp
6bfc5052-76d1-4234-9f82-d1d2dd3ade11,塔罗牌,1,Weather Prediction Paradigm,WxPred,wxpred
885f599e-6cde-4588-a57e-24d2ea80e8ec,不倒翁,1,,,
8448e9c1-a791-4d6f-9a04-da2a7d7cb3fe,超级秒表（trial）,1,,,
e0efd5dd-7639-4f66-8753-b265fc4a8456,吹气球（试验）,1,,,
8cf5d67b-d853-4acb-a253-a8ff9aa2d486,登陆月球（初级）,1,,,
542754a4-d429-448a-b946-47149509d474,连点成画（trial）,1,,,
bf3e0ca1-0998-4eb7-91ec-500c8199fdb5,明白他的心,1,,,
e563c580-004f-454b-85e1-80a0774df7e2,谁在唱歌,1,Speech Discrimination,SpeechDisc,
4839b5ca-49f2-496e-aafb-87fd0b2d1c39,时空相机A（初级）,1,,,
8c3c32ce-3c45-42bf-b440-4f023ec66990,时空相机A（高级）,1,,,
90bc841c-b016-4be0-9b5b-8bc2448cccdc,时空相机A（中级）,1,,,
99a67129-c154-424b-b356-c4c820f77a43,时空相机A（终级）,1,,,
e76e2071-8a55-43b8-b220-69c19bcb24ce,时空相机B（高级）,1,,,
e7b8df7c-0d32-4e62-80c0-c23b24e48446,时空相机B（终级）,1,,,
95d9f0ae-4b56-463b-ad45-74e0874e2b20,速算师（初级）（数学）,1,,,
148077f2-17e2-471d-99fc-4fbb77027aef,太空飞船（trial）,1,,,
539f4c20-7800-4444-8871-1ef833628a6d,位置记忆（trial）,1,,,
6ca66b83-d5ef-47ad-8977-6c114598ae2e,萤火虫（trial）,1,,,
1f48da75-ba8d-4aea-be15-25b70540e286,宇宙黑洞（2）,1,,,
9d703e34-826b-44d2-8b84-e183dd7f73b0,宇宙黑洞A（初级）,1,,,
df46bb40-b2df-4336-b358-ee0244ae2bb9,宇宙黑洞A（高级）,1,,,
4669dd56-58ea-475c-bf29-e187aff858fe,宇宙黑洞A（中级）,1,,,
0a9a984b-34a3-43c0-b63e-76e7932c3081,宇宙黑洞A（终级）,1,,,
35880acf-891a-40ab-b3da-72dea7ae0896,宇宙黑洞B（高级）,1,,,
6634e7d8-e03f-4fa9-9355-43bb0c28d7af,宇宙黑洞B（终极）,1,,,
f6ec0ad6-6c19-4863-89ca-f365bb172ebe,找不同情绪,1,,,
10644c45-e590-4e80-9cd8-2b72e7a2b940,照相机（2）,1,,,
9a7e8886-d69c-4ab2-8899-4fa7150942f0,阻挡陨石（trial）,1,,,
efafcd61-c827-4ddf-9758-071e5c77a11a,宝宝回家,2,,,
d2916863-5db2-4266-9bff-70d4204a49d2,保卫地球,2,,,
427617f7-bd63-4250-8c12-bf0b5092eaea,保卫花园,2,,,
e4b1d47a-5794-4628-9f6c-2f33414774fd,变脸转不停,2,,,
40156808-d073-48b9-803b-3e269bccd6ca,捕鱼高手,2,,,
7f3db3d0-3694-4410-992e-4fd144c755f3,超级交警,2,,,
4d238ff1-4c4b-45e6-9010-dcb4235cfd30,车位管家,2,,,
7762cb89-3ad5-4319-bf3b-b0735caa57fc,冲上云霄,2,,,
93533ece-472d-457e-81b0-2516b850ac00,袋鼠蹦跶,2,,,
5bc638e9-2624-476a-b23f-5098921fdb03,动物忍者,2,,,
4a9a6bfa-5863-40c7-9814-1aa9f4f5a540,方块谜云,2,,,
424c7f6c-bd4e-4f8c-825b-78938cdb2694,飞行编队,2,,,
1084dc18-34a7-4205-8559-73d38d3d663e,疯狂部落,2,,,
9de34034-d379-49e9-8d6b-395c45a0a580,海湾捕鱼,2,,,
03bba4cb-f77a-4d87-b9b2-898207454da6,荷塘月色,2,,,
d2403614-a0ba-4479-a243-d10ebd998941,欢乐河豚,2,,,
cf628753-084a-4e41-ac40-b31e00ef7015,极地冒险,2,,,
c9c7073e-d9f8-41d9-a6cf-9548e4895d87,极地冒险-词汇版,2,,,
80d29293-4906-45f4-9c4b-e809bd1e4633,卡车司机,2,,,
53b86bc8-c835-4668-8b51-e14655453690,连线点灯,2,,,
97dda091-2754-460c-a7a8-e8a1cdab2461,每日口算,2,,,
7b0f3d7f-65dc-4b7c-88e1-1c8638357a62,冥想,2,,,
aedf5881-10c0-4fa6-9c88-ddcd85339376,七巧板,2,,,
a72f137c-77fa-47c2-8800-43526099d331,声音波动,2,,,
00d0e8b5-d9c9-464b-87a3-2809e4766591,舒尔特方格,2,,,
7dafa571-4ebb-49b9-8290-d8aa91ffb531,水果达人,2,,,
c9901372-bd4b-4f6e-9ec7-f5a3bba4b5a2,顺序判断,2,,,
8eff8f0c-1ccd-49da-a58e-a1c6c401d0b8,松鼠储藏室,2,,,
3e75d9cf-f5e9-4631-9482-5165be9b89fe,速算大师,2,,,
5b87c5f2-8a31-40e4-b91a-fc39a824abdb,太空充能,2,,,
3d16a994-17a4-40a7-b41c-05b9c7f3d692,糖果达人,2,,,
f94194f9-3f70-4a5d-b2a0-637d6d820532,套圈高手,2,,,
acde8981-2f99-46b0-b544-a31093b60124,玩偶工厂,2,,,
7be56e34-0ab0-4915-b4bb-38d48353e1f1,未来工厂,2,,,
d042e22e-8e00-4f45-a317-38c0e94f0d1c,我是不倒翁,2,,,
c4f8c641-6b37-4ab0-ad61-8db2604be5d3,夏日池塘,2,,,
d7a7f4e0-055d-4cfa-8c30-6726dfce5cf4,夏日池塘-词汇版,2,,,
9836d030-8e63-4a24-8e99-807c5099d6ee,相册整理,2,,,
58db089b-f2ac-4a1a-a9ac-c4eb82ab0ac5,小飞行家,2,,,
6bb4efd1-71c4-40f5-b097-a361bff70388,眼疾手快,2,,,
f6272177-1fc3-4bcc-822a-77fee79dffea,一站到底,2,,,
8487b47d-59df-43b0-9d1f-1c6eae95d238,宇宙救援,2,,,
a9b19f96-dc79-45dc-93ae-be85fe2b86c3,拯救萌宝,2,,,
e5aa6979-91be-4dae-b51e-5f9719f6c3d1,二维心理旋转测试A,3,Mental Rotation A,MRA,countcorrect
777a91ab-fd7c-4039-8feb-d314cdfd7c70,二维心理旋转测试B,3,Mental Rotation B,MRB,countcorrect
19c64c85-e049-4f07-98a0-3ba7c6e2f7db,瑞文标准推理,3,Raven Standard,RavenS,countcorrect
98ff7e39-c007-496a-9657-b2be8425d303,瑞文标准推理偶数版,3,Raven Standard Even,RavenSE,countcorrect
b2c2007f-1eac-43cd-b189-b2e8b205505a,瑞文标准推理奇数版,3,Raven Standard Odd,RavenSO,countcorrect
993e97f8-25be-4b20-9fa8-a901c8a6b7e8,瑞文高级推理,3,Raven Advanced,RavenAdv,countcorrect
f4d40134-60ca-4bac-ae22-dba3be2b9171,三维心理旋转测试,3,Mental Rotation 3D,MR3D,countcorrect
84f02a51-b530-472f-b769-2ae6c7b287da,数字归纳推理,3,Digit Reasoning Induction,DRI,countcorrect
b958aca6-2898-46ec-863e-78254fe21ef8,数字演绎推理,3,Digit Reasoning Deduction,DRD,countcorrect
5d660837-b20b-49f3-8fb6-1efb6647c36f,图形归纳推理,3,Non-verbal Reasoning Induction,NVRI,countcorrect
aaf8f49c-da9b-4eb2-8eb3-7f8432e933a7,图形演绎推理,3,Non-verbal Reasoning Deduction,NVRD,countcorrect
fce71488-ac59-44c1-a7df-a77cf98901f3,图形折叠与展开,3,Folding,Folding,countcorrect
2a82342b-f1bf-489e-8dd4-403e708123d1,阅读判断,3,Reading,Reading,countcorrect
e4019970-571d-435b-a29f-d9d98226bcbc,（勿删）梅鹏题目壳使用,3,,,
9e14dbf6-8689-4e45-88e6-472f8f3f2663,Conners行为评定量表,3,,,
5b62cb67-dc37-4e3a-b948-ee2f202e3f35,MBTI职业性格测试,3,,,
f393282a-e2b1-4f40-a434-b7f7f345d13b,MINIKID,3,,,
3ebada56-d085-4ec4-807b-62857e1ecb11,贝克焦虑量表,3,,,
